"group","counterbalance","block_type","block","delay_condition","trial","chosen","unchosen","offer_left_image","offer_right_image","exp_value_chosen","exp_value_unchosen","choice_location","choice_key","exp_value1","exp_value2","exp_value3","exp_value4","reward","coins_per_block","coins_per_task","ITI_duration","rt_deadline","choice_feedback_duration","outcome_duration","subject","rt"
"ADHD","start_with_long_delay"," test",1,7,11,2,3,2,3,0.45,0.55," left",1,0.35,0.45,0.55,0.65,0,5,9,1,6,0.5,1,"0DKx3BNQ",1.75470370007679
"ADHD","start_with_long_delay"," test",1,7,12,3,1,3,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,0,5,9,1,6,0.5,1,"0DKx3BNQ",1.30906100012362
"ADHD","start_with_long_delay"," test",1,7,13,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,1,6,10,1,6,0.5,1,"0DKx3BNQ",0.5203249999322
"ADHD","start_with_long_delay"," test",1,7,14,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,0,6,10,1,6,0.5,1,"0DKx3BNQ",0.421761199831963
"ADHD","start_with_long_delay"," test",1,7,15,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,1,7,11,1,6,0.5,1,"0DKx3BNQ",0.889571400126442
"ADHD","start_with_long_delay"," test",1,7,16,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,7,11,1,6,0.5,1,"0DKx3BNQ",0.662953400053084
"ADHD","start_with_long_delay"," test",1,7,17,2,3,3,2,0.45,0.55," right",2,0.35,0.45,0.55,0.65,0,7,11,1,6,0.5,1,"0DKx3BNQ",1.79910729988478
"ADHD","start_with_long_delay"," test",1,7,18,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,0,7,11,1,6,0.5,1,"0DKx3BNQ",1.20441439980641
"ADHD","start_with_long_delay"," test",1,7,19,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,1,8,12,1,6,0.5,1,"0DKx3BNQ",1.21572580002248
"ADHD","start_with_long_delay"," test",1,7,20,3,1,3,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,1,9,13,1,6,0.5,1,"0DKx3BNQ",0.748560500098392
"ADHD","start_with_long_delay"," test",1,7,21,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,0,9,13,1,6,0.5,1,"0DKx3BNQ",0.902401600033045
"ADHD","start_with_long_delay"," test",1,7,22,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,1,10,14,1,6,0.5,1,"0DKx3BNQ",0.564157899934798
"ADHD","start_with_long_delay"," test",1,7,23,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,10,14,1,6,0.5,1,"0DKx3BNQ",0.584349000127986
"ADHD","start_with_long_delay"," test",1,7,24,3,1,3,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,1,11,15,1,6,0.5,1,"0DKx3BNQ",0.629672199953347
"ADHD","start_with_long_delay"," test",1,7,25,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,11,15,1,6,0.5,1,"0DKx3BNQ",0.352905200095847
"ADHD","start_with_long_delay"," test",2,1,1,1,3,1,3,0.35,0.55," left",1,0.35,0.45,0.55,0.65,0,0,15,1,6,0.5,1,"0DKx3BNQ",0.610401699785143
"ADHD","start_with_long_delay"," test",2,1,2,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,1,1,16,1,6,0.5,1,"0DKx3BNQ",0.770897200098261
"ADHD","start_with_long_delay"," test",2,1,3,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,1,2,17,1,6,0.5,1,"0DKx3BNQ",0.85696900007315
"ADHD","start_with_long_delay"," test",2,1,4,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,0,2,17,1,6,0.5,1,"0DKx3BNQ",1.13569499994628
"ADHD","start_with_long_delay"," test",2,1,5,3,4,3,4,0.55,0.65," left",1,0.35,0.45,0.55,0.65,0,2,17,1,6,0.5,1,"0DKx3BNQ",0.898848399985582
"ADHD","start_with_long_delay"," test",2,1,6,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,0,2,17,1,6,0.5,1,"0DKx3BNQ",1.152155400021
"ADHD","start_with_long_delay"," test",2,1,7,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,1,3,18,1,6,0.5,1,"0DKx3BNQ",1.30244640004821
"ADHD","start_with_long_delay"," test",2,1,8,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,1,4,19,1,6,0.5,1,"0DKx3BNQ",0.6506658999715
"ADHD","start_with_long_delay"," test",2,1,9,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,1,5,20,1,6,0.5,1,"0DKx3BNQ",0.698238100158051
"ADHD","start_with_long_delay"," test",2,1,10,2,4,2,4,0.45,0.65," left",1,0.35,0.45,0.55,0.65,0,5,20,1,6,0.5,1,"0DKx3BNQ",0.912811300018802
"ADHD","start_with_long_delay"," test",2,1,11,2,4,4,2,0.45,0.65," right",2,0.35,0.45,0.55,0.65,0,5,20,1,6,0.5,1,"0DKx3BNQ",0.642276200000197
"ADHD","start_with_long_delay"," test",2,1,12,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,6,21,1,6,0.5,1,"0DKx3BNQ",0.698239100165665
"ADHD","start_with_long_delay"," test",2,1,13,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,6,21,1,6,0.5,1,"0DKx3BNQ",0.709382999921218
"ADHD","start_with_long_delay"," test",2,1,14,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,0,6,21,1,6,0.5,1,"0DKx3BNQ",0.558165199821815
"ADHD","start_with_long_delay"," test",2,1,15,1,2,1,2,0.35,0.45," left",1,0.35,0.45,0.55,0.65,0,6,21,1,6,0.5,1,"0DKx3BNQ",2.18882800010033
"ADHD","start_with_long_delay"," test",2,1,16,2,4,2,4,0.45,0.65," left",1,0.35,0.45,0.55,0.65,1,7,22,1,6,0.5,1,"0DKx3BNQ",1.19424490001984
"ADHD","start_with_long_delay"," test",2,1,17,4,1,1,4,0.65,0.35," right",2,0.35,0.45,0.55,0.65,0,7,22,1,6,0.5,1,"0DKx3BNQ",0.611239099875093
"ADHD","start_with_long_delay"," test",2,1,18,4,1,1,4,0.65,0.35," right",2,0.35,0.45,0.55,0.65,0,7,22,1,6,0.5,1,"0DKx3BNQ",0.839940200094134
"ADHD","start_with_long_delay"," test",2,1,19,2,1,1,2,0.45,0.35," right",2,0.35,0.45,0.55,0.65,1,8,23,1,6,0.5,1,"0DKx3BNQ",0.733084399951622
"ADHD","start_with_long_delay"," test",2,1,20,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,9,24,1,6,0.5,1,"0DKx3BNQ",0.535506499931216
"ADHD","start_with_long_delay"," test",2,1,21,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,10,25,1,6,0.5,1,"0DKx3BNQ",0.359421300003305
"ADHD","start_with_long_delay"," test",2,1,22,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,0,10,25,1,6,0.5,1,"0DKx3BNQ",1.00854839989915
"ADHD","start_with_long_delay"," test",2,1,23,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,11,26,1,6,0.5,1,"0DKx3BNQ",0.938609399832785
"ADHD","start_with_long_delay"," test",2,1,24,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,1,12,27,1,6,0.5,1,"0DKx3BNQ",1.36529109999537
"ADHD","start_with_long_delay"," test",2,1,25,2,1,1,2,0.45,0.35," right",2,0.35,0.45,0.55,0.65,1,13,28,1,6,0.5,1,"0DKx3BNQ",0.85612399992533
"ADHD","start_with_long_delay"," test",3,7,1,3,4,3,4,0.55,0.65," left",1,0.35,0.45,0.55,0.65,1,1,29,1,6,0.5,1,"0DKx3BNQ",0.565893900115043
"ADHD","start_with_long_delay"," test",3,7,2,1,2,2,1,0.35,0.45," right",2,0.35,0.45,0.55,0.65,1,2,30,1,6,0.5,1,"0DKx3BNQ",0.664494200143963
"ADHD","start_with_long_delay"," test",3,7,3,1,2,1,2,0.35,0.45," left",1,0.35,0.45,0.55,0.65,0,2,30,1,6,0.5,1,"0DKx3BNQ",0.311492299893871
"ADHD","start_with_long_delay"," test",3,7,4,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,2,30,1,6,0.5,1,"0DKx3BNQ",0.899455599952489
"ADHD","start_with_long_delay"," test",3,7,5,4,1,1,4,0.65,0.35," right",2,0.35,0.45,0.55,0.65,1,3,31,1,6,0.5,1,"0DKx3BNQ",0.823353300103918
"ADHD","start_with_long_delay"," test",3,7,6,4,3,4,3,0.65,0.55," left",1,0.35,0.45,0.55,0.65,0,3,31,1,6,0.5,1,"0DKx3BNQ",0.763864899985492
"ADHD","start_with_long_delay"," test",3,7,7,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,4,32,1,6,0.5,1,"0DKx3BNQ",0.638510099845007
"ADHD","start_with_long_delay"," test",3,7,8,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,1,5,33,1,6,0.5,1,"0DKx3BNQ",0.464539099950343
"ADHD","start_with_long_delay"," test",3,7,9,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,1,6,34,1,6,0.5,1,"0DKx3BNQ",0.382519300095737
"ADHD","start_with_long_delay"," test",3,7,10,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,6,34,1,6,0.5,1,"0DKx3BNQ",0.379821500042453
"ADHD","start_with_long_delay"," test",3,7,11,1,2,1,2,0.35,0.45," left",1,0.35,0.45,0.55,0.65,0,6,34,1,6,0.5,1,"0DKx3BNQ",0.7616709000431
"ADHD","start_with_long_delay"," test",3,7,12,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,6,34,1,6,0.5,1,"0DKx3BNQ",0.397485399851575
"ADHD","start_with_long_delay"," test",3,7,13,1,4,1,4,0.35,0.65," left",1,0.35,0.45,0.55,0.65,0,6,34,1,6,0.5,1,"0DKx3BNQ",1.10454700002447
"ADHD","start_with_long_delay"," test",3,7,14,2,1,2,1,0.45,0.35," left",1,0.35,0.45,0.55,0.65,0,6,34,1,6,0.5,1,"0DKx3BNQ",1.44587579998188
"ADHD","start_with_long_delay"," test",3,7,15,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,7,35,1,6,0.5,1,"0DKx3BNQ",0.684265600051731
"ADHD","start_with_long_delay"," test",3,7,16,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,0,7,35,1,6,0.5,1,"0DKx3BNQ",0.493815099820495
"ADHD","start_with_long_delay"," test",3,7,17,3,4,3,4,0.55,0.65," left",1,0.35,0.45,0.55,0.65,0,7,35,1,6,0.5,1,"0DKx3BNQ",0.367770900018513
"ADHD","start_with_long_delay"," test",3,7,18,4,2,4,2,0.65,0.45," left",1,0.35,0.45,0.55,0.65,1,8,36,1,6,0.5,1,"0DKx3BNQ",0.816764699993655
"ADHD","start_with_long_delay"," test",3,7,19,4,2,4,2,0.65,0.45," left",1,0.35,0.45,0.55,0.65,1,9,37,1,6,0.5,1,"0DKx3BNQ",0.54560670000501
"ADHD","start_with_long_delay"," test",3,7,20,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,10,38,1,6,0.5,1,"0DKx3BNQ",0.599316500127316
"ADHD","start_with_long_delay"," test",3,7,21,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,0,10,38,1,6,0.5,1,"0DKx3BNQ",0.531923100119457
"ADHD","start_with_long_delay"," test",3,7,22,2,1,1,2,0.45,0.35," right",2,0.35,0.45,0.55,0.65,1,11,39,1,6,0.5,1,"0DKx3BNQ",0.987837099935859
"ADHD","start_with_long_delay"," test",3,7,23,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,11,39,1,6,0.5,1,"0DKx3BNQ",0.748156499816105
"ADHD","start_with_long_delay"," test",3,7,24,2,1,2,1,0.45,0.35," left",1,0.35,0.45,0.55,0.65,1,12,40,1,6,0.5,1,"0DKx3BNQ",0.764264600118622
"ADHD","start_with_long_delay"," test",3,7,25,2,4,2,4,0.45,0.65," left",1,0.35,0.45,0.55,0.65,0,12,40,1,6,0.5,1,"0DKx3BNQ",0.522158400155604
"ADHD","start_with_long_delay"," test",4,1,1,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,1,41,1,6,0.5,1,"0DKx3BNQ",0.76590449991636
"ADHD","start_with_long_delay"," test",4,1,2,4,2,4,2,0.65,0.45," left",1,0.35,0.45,0.55,0.65,0,1,41,1,6,0.5,1,"0DKx3BNQ",0.4269215001259
"ADHD","start_with_long_delay"," test",4,1,3,1,2,1,2,0.35,0.45," left",1,0.35,0.45,0.55,0.65,0,1,41,1,6,0.5,1,"0DKx3BNQ",0.594400499947369
"ADHD","start_with_long_delay"," test",4,1,4,1,4,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,0,1,41,1,6,0.5,1,"0DKx3BNQ",0.57326430012472
"ADHD","start_with_long_delay"," test",4,1,5,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,1,2,42,1,6,0.5,1,"0DKx3BNQ",0.797789999982342
"ADHD","start_with_long_delay"," test",4,1,6,1,4,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,0,2,42,1,6,0.5,1,"0DKx3BNQ",0.691633299924433
"ADHD","start_with_long_delay"," test",4,1,7,2,1,2,1,0.45,0.35," left",1,0.35,0.45,0.55,0.65,1,3,43,1,6,0.5,1,"0DKx3BNQ",1.12369720009156
"ADHD","start_with_long_delay"," test",4,1,8,3,1,3,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,0,3,43,1,6,0.5,1,"0DKx3BNQ",1.3804083999712
"ADHD","start_with_long_delay"," test",4,1,9,2,1,1,2,0.45,0.35," right",2,0.35,0.45,0.55,0.65,0,3,43,1,6,0.5,1,"0DKx3BNQ",0.790490900166333
"ADHD","start_with_long_delay"," test",4,1,10,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,1,4,44,1,6,0.5,1,"0DKx3BNQ",0.867481000022963
"ADHD","start_with_long_delay"," test",4,1,11,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,1,5,45,1,6,0.5,1,"0DKx3BNQ",0.389940000139177
"ADHD","start_with_long_delay"," test",4,1,12,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,6,46,1,6,0.5,1,"0DKx3BNQ",0.365835099946707
"ADHD","start_with_long_delay"," test",4,1,13,1,4,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,0,6,46,1,6,0.5,1,"0DKx3BNQ",1.10824189987034
"ADHD","start_with_long_delay"," test",4,1,14,2,1,1,2,0.45,0.35," right",2,0.35,0.45,0.55,0.65,0,6,46,1,6,0.5,1,"0DKx3BNQ",1.11679339990951
"ADHD","start_with_long_delay"," test",4,1,15,1,4,1,4,0.35,0.65," left",1,0.35,0.45,0.55,0.65,0,6,46,1,6,0.5,1,"0DKx3BNQ",0.896940999897197
"ADHD","start_with_long_delay"," test",4,1,16,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,1,7,47,1,6,0.5,1,"0DKx3BNQ",0.509467700030655
"ADHD","start_with_long_delay"," test",4,1,17,3,1,1,3,0.55,0.35," right",2,0.35,0.45,0.55,0.65,0,7,47,1,6,0.5,1,"0DKx3BNQ",0.823190199909732
"ADHD","start_with_long_delay"," test",4,1,18,4,1,1,4,0.65,0.35," right",2,0.35,0.45,0.55,0.65,1,8,48,1,6,0.5,1,"0DKx3BNQ",0.393996000057086
"ADHD","start_with_long_delay"," test",4,1,19,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,9,49,1,6,0.5,1,"0DKx3BNQ",0.579802100080997
"ADHD","start_with_long_delay"," test",4,1,20,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,0,9,49,1,6,0.5,1,"0DKx3BNQ",0.848944899858907
"ADHD","start_with_long_delay"," test",4,1,21,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,9,49,1,6,0.5,1,"0DKx3BNQ",0.707770300097764
"ADHD","start_with_long_delay"," test",4,1,22,2,1,2,1,0.45,0.35," left",1,0.35,0.45,0.55,0.65,1,10,50,1,6,0.5,1,"0DKx3BNQ",1.34103010012768
"ADHD","start_with_long_delay"," test",4,1,23,3,2,3,2,0.55,0.45," left",1,0.35,0.45,0.55,0.65,0,10,50,1,6,0.5,1,"0DKx3BNQ",0.771793400170282
"ADHD","start_with_long_delay"," test",4,1,24,3,1,1,3,0.55,0.35," right",2,0.35,0.45,0.55,0.65,1,11,51,1,6,0.5,1,"0DKx3BNQ",0.562685400014743
"ADHD","start_with_long_delay"," test",4,1,25,2,4,2,4,0.45,0.65," left",1,0.35,0.45,0.55,0.65,0,11,51,1,6,0.5,1,"0DKx3BNQ",0.559076400008053
"ADHD","start_with_long_delay"," test",5,7,1,1,3,1,3,0.35,0.55," left",1,0.35,0.45,0.55,0.65,1,1,52,1,6,0.5,1,"0DKx3BNQ",0.613544199848548
"ADHD","start_with_long_delay"," test",5,7,2,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,0,1,52,1,6,0.5,1,"0DKx3BNQ",0.633391600102186
"ADHD","start_with_long_delay"," test",5,7,3,2,3,3,2,0.45,0.55," right",2,0.35,0.45,0.55,0.65,0,1,52,1,6,0.5,1,"0DKx3BNQ",0.584884300129488
"ADHD","start_with_long_delay"," test",5,7,4,1,4,1,4,0.35,0.65," left",1,0.35,0.45,0.55,0.65,0,1,52,1,6,0.5,1,"0DKx3BNQ",0.617937200004235
"ADHD","start_with_long_delay"," test",5,7,5,2,3,3,2,0.45,0.55," right",2,0.35,0.45,0.55,0.65,0,1,52,1,6,0.5,1,"0DKx3BNQ",0.875123600009829
"ADHD","start_with_long_delay"," test",5,7,6,2,3,3,2,0.45,0.55," right",2,0.35,0.45,0.55,0.65,1,2,53,1,6,0.5,1,"0DKx3BNQ",0.679513799957931
"ADHD","start_with_long_delay"," test",5,7,7,2,3,3,2,0.45,0.55," right",2,0.35,0.45,0.55,0.65,1,3,54,1,6,0.5,1,"0DKx3BNQ",0.61366800009273
"ADHD","start_with_long_delay"," test",5,7,8,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,4,55,1,6,0.5,1,"0DKx3BNQ",0.34556689998135
"ADHD","start_with_long_delay"," test",5,7,9,4,3,3,4,0.65,0.55," right",2,0.35,0.45,0.55,0.65,0,4,55,1,6,0.5,1,"0DKx3BNQ",0.316820600070059
"ADHD","start_with_long_delay"," test",5,7,10,2,3,2,3,0.45,0.55," left",1,0.35,0.45,0.55,0.65,0,4,55,1,6,0.5,1,"0DKx3BNQ",0.884629900101572
"ADHD","start_with_long_delay"," test",5,7,11,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,0,4,55,1,6,0.5,1,"0DKx3BNQ",0.432752700056881
"ADHD","start_with_long_delay"," test",5,7,12,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,5,56,1,6,0.5,1,"0DKx3BNQ",0.308089100057259
"ADHD","start_with_long_delay"," test",5,7,13,4,3,3,4,0.65,0.55," right",2,0.35,0.45,0.55,0.65,0,5,56,1,6,0.5,1,"0DKx3BNQ",0.289400100009516
"ADHD","start_with_long_delay"," test",5,7,14,2,3,3,2,0.45,0.55," right",2,0.35,0.45,0.55,0.65,0,5,56,1,6,0.5,1,"0DKx3BNQ",0.581808000104502
"ADHD","start_with_long_delay"," test",5,7,15,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,6,57,1,6,0.5,1,"0DKx3BNQ",0.364792099921033
"ADHD","start_with_long_delay"," test",5,7,16,2,3,2,3,0.45,0.55," left",1,0.35,0.45,0.55,0.65,1,7,58,1,6,0.5,1,"0DKx3BNQ",0.597205400001258
"ADHD","start_with_long_delay"," test",5,7,17,4,3,4,3,0.65,0.55," left",1,0.35,0.45,0.55,0.65,1,8,59,1,6,0.5,1,"0DKx3BNQ",0.322272599907592
"ADHD","start_with_long_delay"," test",5,7,18,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,9,60,1,6,0.5,1,"0DKx3BNQ",0.331260500010103
"ADHD","start_with_long_delay"," test",5,7,19,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,10,61,1,6,0.5,1,"0DKx3BNQ",0.321830099914223
"ADHD","start_with_long_delay"," test",5,7,20,1,3,1,3,0.35,0.55," left",1,0.35,0.45,0.55,0.65,0,10,61,1,6,0.5,1,"0DKx3BNQ",0.34965609991923
"ADHD","start_with_long_delay"," test",5,7,21,1,3,3,1,0.35,0.55," right",2,0.35,0.45,0.55,0.65,0,10,61,1,6,0.5,1,"0DKx3BNQ",0.664365499978885
"ADHD","start_with_long_delay"," test",5,7,22,1,3,1,3,0.35,0.55," left",1,0.35,0.45,0.55,0.65,0,10,61,1,6,0.5,1,"0DKx3BNQ",0.542748699896038
"ADHD","start_with_long_delay"," test",5,7,23,1,3,3,1,0.35,0.55," right",2,0.35,0.45,0.55,0.65,1,11,62,1,6,0.5,1,"0DKx3BNQ",0.458136900095269
"ADHD","start_with_long_delay"," test",5,7,24,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,0,11,62,1,6,0.5,1,"0DKx3BNQ",0.31315160007216
"ADHD","start_with_long_delay"," test",5,7,25,4,2,4,2,0.65,0.45," left",1,0.35,0.45,0.55,0.65,1,12,63,1,6,0.5,1,"0DKx3BNQ",0.336070399964228
"ADHD","start_with_long_delay"," test",6,1,1,3,1,1,3,0.55,0.35," right",2,0.35,0.45,0.55,0.65,1,1,64,1,6,0.5,1,"0DKx3BNQ",0.80969740008004
"ADHD","start_with_long_delay"," test",6,1,2,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,0,1,64,1,6,0.5,1,"0DKx3BNQ",0.366792300017551
"ADHD","start_with_long_delay"," test",6,1,3,3,4,3,4,0.55,0.65," left",1,0.35,0.45,0.55,0.65,1,2,65,1,6,0.5,1,"0DKx3BNQ",0.404460499994457
"ADHD","start_with_long_delay"," test",6,1,4,3,4,3,4,0.55,0.65," left",1,0.35,0.45,0.55,0.65,1,3,66,1,6,0.5,1,"0DKx3BNQ",0.669746000086889
"ADHD","start_with_long_delay"," test",6,1,5,2,1,2,1,0.45,0.35," left",1,0.35,0.45,0.55,0.65,0,3,66,1,6,0.5,1,"0DKx3BNQ",0.526851100148633
"ADHD","start_with_long_delay"," test",6,1,6,2,1,1,2,0.45,0.35," right",2,0.35,0.45,0.55,0.65,1,4,67,1,6,0.5,1,"0DKx3BNQ",0.304165799869224
"ADHD","start_with_long_delay"," test",6,1,7,2,1,2,1,0.45,0.35," left",1,0.35,0.45,0.55,0.65,1,5,68,1,6,0.5,1,"0DKx3BNQ",0.380490300012752
"ADHD","start_with_long_delay"," test",6,1,8,1,4,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,0,5,68,1,6,0.5,1,"0DKx3BNQ",0.890225900104269
"ADHD","start_with_long_delay"," test",6,1,9,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,0,5,68,1,6,0.5,1,"0DKx3BNQ",0.675088299904019
"ADHD","start_with_long_delay"," test",6,1,10,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,6,69,1,6,0.5,1,"0DKx3BNQ",0.415911300107837
"ADHD","start_with_long_delay"," test",6,1,11,1,4,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,0,6,69,1,6,0.5,1,"0DKx3BNQ",1.17676570010372
"ADHD","start_with_long_delay"," test",6,1,12,1,2,1,2,0.35,0.45," left",1,0.35,0.45,0.55,0.65,0,6,69,1,6,0.5,1,"0DKx3BNQ",0.367236000020057
"ADHD","start_with_long_delay"," test",6,1,13,3,1,3,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,1,7,70,1,6,0.5,1,"0DKx3BNQ",0.680021400097758
"ADHD","start_with_long_delay"," test",6,1,14,1,4,1,4,0.35,0.65," left",1,0.35,0.45,0.55,0.65,0,7,70,1,6,0.5,1,"0DKx3BNQ",1.2286300000269
